,Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,Anxiety,Depression,Insomnia,OCD,Music effects
49,8/28/2022 12:32,19.0,Spotify,3.0,Yes,No,No,Pop,No,Yes,7.0,4.0,2.0,4.0,No effect
50,8/28/2022 12:37,17.0,Apple Music,2.0,Yes,Yes,No,EDM,Yes,No,0.0,0.0,0.0,0.0,Improve
51,8/28/2022 12:39,16.0,Spotify,6.0,Yes,No,No,K pop,Yes,Yes,7.0,8.0,7.0,5.0,Improve
52,8/28/2022 12:52,23.0,Apple Music,1.0,No,No,No,Rap,No,Yes,10.0,6.0,3.0,10.0,No effect
53,8/28/2022 12:53,23.0,Spotify,12.0,Yes,No,No,Pop,Yes,Yes,3.0,7.0,5.0,5.0,No effect
54,8/28/2022 12:54,22.0,Spotify,4.0,Yes,No,Yes,Rock,Yes,Yes,8.0,7.0,4.0,3.0,Improve
55,8/28/2022 13:01,16.0,Apple Music,2.0,Yes,Yes,No,Classical,Yes,No,0.0,0.0,1.0,3.0,Improve
56,8/28/2022 13:05,18.0,Spotify,6.0,Yes,No,No,Rock,Yes,No,8.0,6.0,2.0,10.0,No effect
58,8/28/2022 13:09,23.0,Spotify,7.0,Yes,No,No,Folk,Yes,Yes,6.0,4.0,2.0,3.0,Improve
59,8/28/2022 13:18,23.0,I do not use a streaming service.,1.0,Yes,Yes,No,Video game music,No,No,7.0,0.0,0.0,2.0,Improve
60,8/28/2022 13:22,19.0,YouTube Music,1.0,No,Yes,No,K pop,Yes,Yes,10.0,1.0,0.0,0.0,Improve
61,8/28/2022 13:22,22.0,Pandora,1.0,No,Yes,No,Rock,Yes,No,8.0,7.0,0.0,5.0,Improve
62,8/28/2022 13:34,15.0,Other streaming service,2.0,Yes,Yes,No,Rock,No,No,3.0,2.0,6.0,7.0,Improve
63,8/28/2022 13:34,25.0,Spotify,2.0,No,No,No,Metal,No,Yes,5.0,5.0,3.0,1.0,No effect
64,8/28/2022 13:42,32.0,Spotify,5.0,Yes,No,No,Rock,No,Yes,10.0,10.0,3.0,1.0,Worsen
65,8/28/2022 13:43,36.0,Spotify,6.0,Yes,No,No,Metal,Yes,Yes,5.0,4.0,10.0,2.0,Improve
66,8/28/2022 13:46,24.0,Spotify,3.0,No,No,No,Rock,Yes,Yes,0.0,0.0,8.0,0.0,No effect
67,8/28/2022 13:48,29.0,Spotify,4.0,No,No,No,Hip hop,Yes,No,8.0,8.0,5.0,10.0,Improve
68,8/28/2022 13:55,41.0,Apple Music,3.0,Yes,Yes,Yes,Metal,Yes,Yes,10.0,7.0,8.0,0.0,Improve
69,8/28/2022 13:57,36.0,I do not use a streaming service.,2.0,Yes,Yes,Yes,Rock,Yes,No,7.0,3.0,1.0,1.0,Improve
70,8/28/2022 13:59,19.0,YouTube Music,3.0,Yes,No,No,Rock,Yes,No,8.0,7.0,4.0,0.0,Improve
71,8/28/2022 14:00,31.0,Spotify,2.0,Yes,No,No,Rock,Yes,Yes,10.0,2.0,0.0,5.0,No effect
72,8/28/2022 14:01,16.0,Spotify,4.0,Yes,No,No,Rock,No,Yes,9.0,8.0,1.0,2.0,Improve
73,8/28/2022 14:02,26.0,Spotify,2.0,Yes,Yes,Yes,Hip hop,Yes,Yes,6.0,3.0,1.0,1.0,Improve
74,8/28/2022 14:04,22.0,Apple Music,0.5,No,No,No,Hip hop,No,No,7.0,7.0,0.0,1.0,No effect
75,8/28/2022 14:04,16.0,Spotify,5.0,Yes,Yes,Yes,Jazz,Yes,Yes,7.0,7.0,8.0,4.0,Improve
76,8/28/2022 14:07,17.0,Spotify,5.0,Yes,No,No,Metal,Yes,Yes,4.0,1.0,0.0,0.0,Improve
77,8/28/2022 14:08,19.0,Spotify,10.0,Yes,No,No,R&B,Yes,Yes,7.0,2.0,1.0,5.0,Improve
78,8/28/2022 14:10,18.0,YouTube Music,2.0,No,No,No,EDM,No,Yes,9.0,0.0,5.0,10.0,Improve
79,8/28/2022 14:10,18.0,YouTube Music,4.0,Yes,No,No,Hip hop,Yes,Yes,2.0,7.0,1.0,1.0,Improve
80,8/28/2022 14:12,19.0,Spotify,5.0,No,Yes,Yes,Rock,Yes,Yes,10.0,8.0,7.0,0.0,Improve
81,8/28/2022 14:14,19.0,Spotify,3.0,Yes,No,No,Jazz,Yes,No,3.0,0.0,0.0,0.0,Improve
82,8/28/2022 14:18,22.0,Spotify,2.0,Yes,No,No,K pop,Yes,Yes,7.0,8.0,5.0,1.0,No effect
83,8/28/2022 14:24,16.0,Spotify,2.5,Yes,Yes,Yes,Rock,Yes,Yes,2.0,1.0,0.0,0.0,Improve
84,8/28/2022 14:25,19.0,Spotify,3.0,Yes,No,No,R&B,Yes,Yes,5.0,4.0,0.0,1.0,Improve
85,8/28/2022 14:26,37.0,Spotify,1.0,Yes,No,No,Rock,No,No,9.0,10.0,6.0,10.0,No effect
86,8/28/2022 14:29,14.0,Spotify,7.0,Yes,Yes,No,Jazz,No,No,2.0,0.0,0.0,0.0,Improve
87,8/28/2022 14:30,33.0,I do not use a streaming service.,1.0,No,No,No,Metal,No,Yes,5.0,2.0,5.0,1.0,Improve
88,8/28/2022 14:38,26.0,Spotify,1.0,No,No,No,R&B,No,No,3.0,2.0,0.0,0.0,No effect
89,8/28/2022 14:41,32.0,Spotify,3.0,Yes,No,No,Hip hop,No,No,2.0,0.0,7.0,0.0,No effect
90,8/28/2022 14:45,30.0,Spotify,5.0,Yes,Yes,No,Metal,Yes,No,7.0,6.0,6.0,2.0,No effect
91,8/28/2022 14:47,43.0,I do not use a streaming service.,6.0,Yes,Yes,Yes,Video game music,Yes,Yes,5.0,4.0,8.0,3.0,No effect
92,8/28/2022 14:49,24.0,Spotify,4.0,Yes,No,No,Classical,Yes,Yes,4.0,6.0,5.0,3.0,Improve
93,8/28/2022 14:51,36.0,YouTube Music,1.0,Yes,No,No,Rock,Yes,No,6.0,2.0,3.0,1.0,Improve
94,8/28/2022 14:58,19.0,YouTube Music,4.0,Yes,No,No,Video game music,Yes,No,8.0,2.0,1.0,6.0,Improve
95,8/28/2022 14:59,22.0,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,9.0,6.0,0.0,6.0,Improve
96,8/28/2022 15:02,20.0,Spotify,3.0,No,No,Yes,EDM,Yes,Yes,0.0,3.0,7.0,0.0,Improve
